plotID,nlcdClass,DF_BA,EGBA,AM_BA,ECM_BA,totalBA,PerEG_BA,PerECM_BA,Shan_BA,Sim_BA,DF_ST,EF_ST,AM_ST,ECM_ST,totalStems,PerEG_ST,PerECM_ST,Shan_ST,Sim_ST
TALL_001,deciduousForest,12881.736554999996,5751.658794999999,8659.21061,8865.92279,18633.395349999995,30.867475771129392,47.58082262232472,1.8796882104478339,0.8214354969677933,17,2,8,6,19,10.526315789473683,31.57894736842105,2.062332394380924,0.8582230623818525
TALL_002,mixedForest,4546.45829,6856.943699999999,3503.8641399999997,7639.812274999998,11403.40199,60.13068473787969,66.9959042196319,1.3555295843941373,0.594848324618898,17,22,9,28,39,56.41025641025641,71.7948717948718,1.6086953602226934,0.6574621959237344
TALL_004,evergreenForest,0,7658.76639,0,7658.76639,7658.76639,100,100,0.692200814225457,0.499053932239616,0,10,0,10,10,100,100,0.6730116670092565,0.48
TALL_006,evergreenForest,3683.9792899999998,6387.065455,3683.9792899999998,6387.065455,10071.044745000001,63.42008815094387,63.42008815094387,1.1392771080892319,0.620984091894041,3,7,3,7,10,70,70,1.0888999753452235,0.5800000000000001
TALL_007,deciduousForest,9545.073945,1917.6175849999997,5611.612000000001,4307.077165,11462.691530000002,16.72920866780055,37.57474545771013,1.759571889384054,0.8089284607810188,18,9,9,14,27,33.33333333333333,51.85185185185185,1.9091314318694759,0.8340192043895748
TALL_008,deciduousForest,8385.314615000001,0,257.997475,7644.627390000001,8385.314615000001,0,91.16685230062771,1.3364806172904697,0.7065631110912187,9,0,2,5,9,0,55.55555555555556,1.5810937501718234,0.7901234567901234
TALL_009,evergreenForest,1643.368115,1346.92827,181.48192,2808.8144649999995,2990.2963849999996,45.04330329115521,93.93097216348339,1.2985335902432187,0.6828513640797178,9,4,1,12,13,30.76923076923077,92.3076923076923,1.4127446368638479,0.7218934911242603
TALL_013,evergreenForest,0,7891.588589999999,0,7891.588589999999,7891.588589999999,100,100,0,0,0,7,0,7,7,100,100,0,0
