"","plotID","year","plotIDyear","CARSER","PTEPEN","CARGOR","SPHSTE3","SPHCAN","CYMPLA2","NOTAEN","PTEMUT2","TRIAUT","GASHON","PLADEC","AMPINT","PTEROS","SYNIMP","APELUC2","CYMCRI","PTETRI3","CYMLIM","PTEADO","CYMNEG","PTECOR1","AGORET","CHLEMA","DICPOL","POELUC","SYNAME","MYACYA","CALFRI","ANIRUS","OLIPAR","HARRUB","ACUHYD","CICSEX"
"35","HARV_022","2017","HARV_022 2017",0,4,0,0,2,0,1,0,0,0,0,0,12,4,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"36","HARV_001","2017","HARV_001 2017",0,1,6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","HARV_005","2017","HARV_005 2017",5,2,32,2,1,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38","HARV_010","2017","HARV_010 2017",1,0,8,9,1,0,1,2,0,0,0,0,10,10,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"39","HARV_021","2017","HARV_021 2017",0,1,0,2,3,0,1,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","HARV_014","2017","HARV_014 2017",1,2,4,1,1,0,2,0,1,0,0,0,4,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","HARV_021","2018","HARV_021 2018",0,2,2,9,3,1,0,0,0,0,0,0,8,4,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"42","HARV_008","2018","HARV_008 2018",1,5,10,10,7,0,0,0,0,0,0,0,3,12,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"43","HARV_006","2018","HARV_006 2018",4,0,23,7,7,1,10,1,2,0,0,0,0,14,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"44","HARV_005","2018","HARV_005 2018",4,3,32,9,0,1,3,1,4,0,1,0,0,12,0,1,3,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
"45","HARV_004","2018","HARV_004 2018",0,2,17,2,6,0,2,2,0,0,1,0,0,11,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"46","HARV_013","2018","HARV_013 2018",0,0,8,31,2,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"47","HARV_001","2018","HARV_001 2018",2,1,28,19,7,0,0,0,0,0,0,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"48","HARV_010","2018","HARV_010 2018",0,0,39,19,4,0,0,1,1,0,0,0,7,4,1,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"49","HARV_022","2018","HARV_022 2018",0,1,0,2,15,0,0,0,0,0,0,0,11,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","HARV_002","2018","HARV_002 2018",4,0,11,7,4,0,0,1,0,0,0,0,3,15,0,0,9,1,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0
"51","HARV_013","2019","HARV_013 2019",0,0,17,19,3,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","HARV_001","2019","HARV_001 2019",0,3,20,26,5,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","HARV_010","2019","HARV_010 2019",3,0,33,7,8,0,3,0,0,0,0,0,6,11,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"54","HARV_022","2019","HARV_022 2019",0,5,19,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","HARV_004","2019","HARV_004 2019",0,6,7,4,6,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
"56","HARV_006","2019","HARV_006 2019",8,0,19,5,4,1,15,3,1,0,0,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"57","HARV_008","2019","HARV_008 2019",0,5,16,1,0,0,0,1,0,0,1,0,1,9,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"58","HARV_002","2019","HARV_002 2019",2,0,17,1,1,0,0,0,0,0,0,0,4,2,0,0,2,0,1,1,0,0,18,2,0,0,0,0,0,0,0,0,0
"59","HARV_005","2019","HARV_005 2019",2,1,3,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0
"60","HARV_021","2019","HARV_021 2019",0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
